0,0,0,0
1,1,1,1
2,2,2,2
2,3,2,2
2,4,1,2
3,5,1,3
2,6,1,4
4,7,1,5
2,6,0,4
5,2,0,2
6,1,2,6
7,8,0,7
8,0,1,8
9,4,0,2
2,2,0,4
10,9,0,9
2,2,1,4
5,2,2,10
5,2,0,2
2,3,1,10
11,5,1,3
12,1,1,2
2,6,0,4
13,10,0,3
2,6,2,4
14,5,2,11
15,2,0,12
2,4,1,2
2,6,1,4
2,6,1,4
16,11,0,7
2,4,1,2
17,8,1,1
2,2,2,2
18,12,1,5
19,9,1,13
2,2,2,2
2,6,0,4
20,0,1,7
2,3,2,11
21,13,2,1
2,2,0,4
15,2,0,12
2,3,2,11
2,4,0,2
22,14,1,8
23,15,1,1
24,4,0,2
25,13,1,9
26,4,1,10
26,13,1,13
2,2,2,4
27,0,1,5
28,16,2,2
29,17,0,3
30,0,1,14
2,4,1,2
31,2,1,2
26,10,2,8
2,2,1,4
32,18,1,2
2,6,1,4
2,2,0,2
33,11,1,2
34,5,0,7
2,6,0,4
35,15,0,1
2,2,2,4
18,8,2,5
6,19,2,6
18,11,0,10
36,13,1,2
9,4,0,2
20,7,1,7
37,9,0,2
38,11,2,8
2,4,1,2
39,20,1,6
2,2,1,10
40,4,2,7
37,0,1,15
9,4,0,2
15,2,1,4
41,4,1,7
42,4,2,7
2,4,1,2
2,6,2,4
16,8,2,7
43,4,1,4
9,4,0,2
24,21,1,0
17,19,1,14
2,4,1,2
44,22,0,1
45,2,1,4
16,4,1,8
2,2,2,4
17,19,1,1
46,23,1,1
47,0,1,2
48,2,1,4
6,19,1,6
2,2,0,4
2,2,1,4
49,21,0,16
5,2,0,9
9,4,0,2
0,0,1,8
2,4,0,2
50,0,0,2
2,4,1,4
51,24,1,7
16,8,2,13
52,8,0,7
2,6,0,4
2,4,0,2
48,2,0,4
2,4,0,2
2,6,1,4
16,11,1,8
2,4,0,2
24,1,2,0
53,2,1,4
54,15,1,14
2,4,1,2
2,6,1,4
55,0,0,10
2,2,1,12
2,6,2,4
40,4,2,6
5,2,2,4
18,12,1,5
56,4,0,4
57,2,1,4
58,13,2,0
59,10,1,6
5,4,0,2
60,13,2,0
6,25,0,6
61,20,1,7
19,9,1,10
9,4,0,2
2,6,1,4
62,7,1,7
16,4,0,8
2,2,1,2
2,3,1,3
2,6,0,4
63,9,1,7
2,2,0,9
5,2,0,2
64,2,0,4
2,6,1,4
2,6,2,2
65,26,1,1
11,27,2,8
2,4,1,2
2,4,2,2
65,0,2,10
2,4,1,2
66,13,2,0
67,9,2,6
68,1,1,16
16,4,0,8
2,4,1,2
69,0,2,7
70,5,2,12
47,28,0,2
2,2,1,4
19,0,0,15
2,4,0,2
12,1,1,5
2,6,0,4
27,5,2,9
2,6,1,4
9,4,0,2
71,0,1,8
12,1,0,9
72,12,0,14
63,27,2,8
2,2,2,2
69,0,2,6
6,20,1,6
4,29,2,7
2,2,1,4
2,2,2,4
17,0,1,1
73,13,0,17
18,13,0,13
74,0,0,13
2,2,0,4
75,13,2,10
2,6,0,4
5,6,1,12
76,0,1,8
77,4,0,7
21,0,1,8
78,7,1,18
18,4,0,13
2,4,0,2
79,1,2,0
2,2,2,4
2,2,1,4
2,2,1,4
2,6,2,4
2,4,1,2
76,9,0,18
2,4,1,2
5,2,2,2
2,4,0,2
2,4,0,2
2,4,0,2
26,23,1,5
1,1,1,19
80,10,1,14
2,6,0,4
2,6,1,4
5,2,0,4
69,0,2,6
2,6,1,4
2,2,1,4
21,4,2,3
81,4,1,7
5,2,0,12
2,6,2,4
2,2,2,4
69,0,0,8
43,2,1,4
82,0,0,1
9,4,0,2
2,6,1,4
2,2,1,4
83,5,2,10
11,5,2,10
19,9,0,1
84,0,2,5
11,13,2,8
2,2,1,4
85,17,0,8
2,2,1,14
5,6,0,4
26,11,2,10
18,23,0,5
76,0,0,8
27,30,2,7
18,8,1,5
24,10,0,3
5,4,1,2
76,9,1,7
2,2,0,4
53,6,1,4
86,11,0,2
2,2,2,2
2,4,1,2
5,6,1,4
69,31,0,8
9,4,0,2
9,4,0,2
2,4,1,2
87,21,1,0
88,0,1,8
2,6,1,4
5,2,1,2
2,4,1,2
5,2,0,4
2,2,1,4
61,20,1,7
2,6,1,4
2,6,0,4
2,23,2,2
2,6,1,4
26,10,1,5
2,2,0,12
79,1,1,0
89,21,1,10
2,4,0,2
26,11,1,5
90,6,0,4
91,2,1,4
2,6,1,4
92,17,0,3
93,32,0,4
2,4,1,2
94,26,0,6
19,0,0,8
37,30,2,7
64,2,1,4
95,23,2,2
38,4,0,0
2,2,1,4
5,6,1,4
22,5,0,2
2,2,1,14
96,17,2,7
